REG	2022-07	3531388
EXE	2019-08	1551893
REG	2019-08	11839874
EXE	2022-08	507361
REG	2022-08	3554644
EXE	2021-08	455368
REG	2021-08	3363188
EXE	2020-08	1681311
REG	2020-08	12180133
EXE	2021-09	462011
REG	2021-09	3384454
EXE	2022-09	514494
REG	2022-09	3565069
EXE	2020-09	1701876
REG	2020-09	12210566
EXE	2018-09	1562996
REG	2018-09	12711856
EXE	2018-10	1574244
REG	2018-10	12762098
EXE	2019-10	1582721
REG	2019-10	11905032
EXE	2020-10	1716679
REG	2020-10	12251590
EXE	2022-10	518894
REG	2022-10	3581281
EXE	2021-10	468161
REG	2021-10	3402721
EXE	2018-11	1575124
REG	2018-11	12782161
EXE	2019-11	1583267
REG	2019-11	11921296
EXE	2021-11	467206
REG	2021-11	3409578
EXE	2020-11	1708673
REG	2020-11	12290220
EXE	2022-11	2080424
REG	2022-11	13670245
EXE	2021-12	470956
REG	2021-12	3466394
EXE	2022-12	2098192
EXE	2019-12	1594956
REG	2019-12	11945663
EXE	2020-12	1721007
REG	2020-12	12321347
EXE	2018-12	1593655
REG	2018-12	12798802
EXE	2026-01	804264
REG	2026-01	5105520
REG	2022-12	13686027
EXE	2025-12	795242
REG	2025-12	5131597
EXE	2026-02	812027
REG	2026-02	5131143
EXE	2026-03	821552
REG	2026-03	5153563
EXE	2026-04	827865
REG	2026-04	5189793
EXE	2026-05	837315
REG	2026-05	5231479
EXE	2026-06	843227
REG	2026-06	5257799
EXE	2026-07	840628
REG	2026-07	5272735
EXE	2026-08	848786
REG	2026-08	5295981
REG	2020-03	11966778
EXE	2020-03	1621489
EXE	2020-04	1636101
REG	2020-04	11993284
EXE	2020-05	1660995
